"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that updating a user with PUT method returns 200 OK with updated details","197","UpdateUser_ShouldReturn200","","Thu Feb 12 08:41:44 UTC 2026","passed","Thu Feb 12 08:41:44 UTC 2026","","User Management","PutUserTests","UpdateUser_ShouldReturn200"
"Verify that deleting a user returns 204 No Content status","450","DeleteUser_ShouldReturn204","","Thu Feb 12 08:41:43 UTC 2026","passed","Thu Feb 12 08:41:44 UTC 2026","","User Management","DeleteUserTests","DeleteUser_ShouldReturn204"
"Verify that partially updating a user with PATCH method returns 200 OK","223","PatchUser_ShouldReturn200","","Thu Feb 12 08:41:44 UTC 2026","passed","Thu Feb 12 08:41:44 UTC 2026","","User Management","PatchUserTests","PatchUser_ShouldReturn200"
